"","Country","Lat","Long","date","Confirmed","Recovered","Deaths"
"350","Canada",53.9333,-116.5765,2020-03-01,0,0,0
"351","Canada",53.9333,-116.5765,2020-03-10,7,0,0
"352","Canada",53.9333,-116.5765,2020-03-11,19,0,0
"353","Canada",53.9333,-116.5765,2020-03-12,19,0,0
"354","Canada",53.9333,-116.5765,2020-03-13,29,0,0
"355","Canada",53.9333,-116.5765,2020-03-14,29,0,0
"356","Canada",53.9333,-116.5765,2020-03-15,39,0,0
"357","Canada",53.9333,-116.5765,2020-03-16,56,0,0
"358","Canada",53.9333,-116.5765,2020-03-17,74,0,0
"359","Canada",53.9333,-116.5765,2020-03-18,97,0,0
"360","Canada",53.9333,-116.5765,2020-03-19,119,0,0
"361","Canada",53.9333,-116.5765,2020-03-02,0,0,0
"362","Canada",53.9333,-116.5765,2020-03-20,146,0,1
"363","Canada",53.9333,-116.5765,2020-03-21,195,0,1
"364","Canada",53.9333,-116.5765,2020-03-22,259,0,1
"365","Canada",53.9333,-116.5765,2020-03-23,259,0,1
"366","Canada",53.9333,-116.5765,2020-03-03,0,0,0
"367","Canada",53.9333,-116.5765,2020-03-04,0,0,0
"368","Canada",53.9333,-116.5765,2020-03-05,0,0,0
"369","Canada",53.9333,-116.5765,2020-03-06,1,0,0
"370","Canada",53.9333,-116.5765,2020-03-07,2,0,0
"371","Canada",53.9333,-116.5765,2020-03-08,4,0,0
"372","Canada",53.9333,-116.5765,2020-03-09,7,0,0
"373","China",31.8257,117.2264,2020-01-22,1,0,0
"374","China",31.8257,117.2264,2020-01-23,9,0,0
"375","China",31.8257,117.2264,2020-01-24,15,0,0
"376","China",31.8257,117.2264,2020-01-25,39,0,0
"377","China",31.8257,117.2264,2020-01-26,60,0,0
"378","China",31.8257,117.2264,2020-01-27,70,0,0
"379","China",31.8257,117.2264,2020-01-28,106,0,0
"380","China",31.8257,117.2264,2020-01-29,152,2,0
"381","China",31.8257,117.2264,2020-01-30,200,2,0
"382","China",31.8257,117.2264,2020-01-31,237,3,0
"383","China",31.8257,117.2264,2020-02-01,297,5,0
"384","China",31.8257,117.2264,2020-02-10,830,88,3
"385","China",31.8257,117.2264,2020-02-11,860,105,4
"386","China",31.8257,117.2264,2020-02-12,889,127,4
"387","China",31.8257,117.2264,2020-02-13,910,157,5
"388","China",31.8257,117.2264,2020-02-14,934,193,6
"389","China",31.8257,117.2264,2020-02-15,950,221,6
"390","China",31.8257,117.2264,2020-02-16,962,255,6
"391","China",31.8257,117.2264,2020-02-17,973,280,6
"392","China",31.8257,117.2264,2020-02-18,982,361,6
"393","China",31.8257,117.2264,2020-02-19,986,413,6
"394","China",31.8257,117.2264,2020-02-02,340,7,0
"395","China",31.8257,117.2264,2020-02-20,987,474,6
